frame,object_id,x_center,y_center,velocity_px_per_frame,direction_deg
49,3,196.22,167.68,3.751,161.18
51,3,188.82,171.27,8.225,154.12
52,3,184.97,173.29,4.348,152.32
53,3,181.74,174.74,3.541,155.82
60,3,156.52,187.22,28.139,153.67
61,3,153.37,188.48,3.393,158.2
62,3,149.84,190.4,4.018,151.46
64,3,142.58,193.37,7.844,157.75
0,4,314.48,151.22,0.0,0.0
1,4,315.31,149.62,1.802,-62.58
2,4,317.01,147.74,2.535,-47.88
3,4,318.9,145.69,2.788,-47.33
4,4,321.16,143.48,3.161,-44.36
5,4,323.24,141.54,2.844,-43.01
6,4,325.26,139.48,2.885,-45.56
7,4,326.56,137.36,2.487,-58.48
8,4,328.66,135.4,2.873,-43.03
9,4,330.44,133.41,2.67,-48.19
10,4,332.36,131.47,2.729,-45.3
11,4,334.31,129.39,2.851,-46.85
12,4,336.56,127.32,3.057,-42.61
13,4,337.73,125.29,2.343,-60.04
14,4,339.54,123.37,2.639,-46.69
15,4,341.3,121.44,2.612,-47.64
16,4,343.38,119.49,2.851,-43.15
17,4,345.4,117.46,2.864,-45.14
18,4,347.47,115.39,2.927,-45.0
19,4,349.34,113.42,2.716,-46.49
20,4,350.62,111.31,2.468,-58.76
21,4,352.66,109.38,2.808,-43.41
22,4,354.54,107.36,2.759,-47.06
23,4,356.47,105.38,2.765,-45.73
24,4,358.35,103.29,2.811,-48.03
25,4,360.56,101.38,2.921,-40.84
26,4,361.88,99.39,2.388,-56.44
27,4,363.54,97.33,2.646,-51.14
28,4,365.34,95.22,2.773,-49.53
29,4,367.16,93.32,2.631,-46.23
30,4,369.39,91.38,2.956,-41.02
31,4,371.4,89.42,2.807,-44.28
32,4,373.29,87.26,2.87,-48.81
33,4,374.64,85.36,2.331,-54.61
34,4,376.66,83.4,2.815,-44.14
35,4,378.49,81.37,2.733,-47.97
36,4,380.35,79.28,2.798,-48.33
37,4,382.37,77.34,2.801,-43.84
38,4,384.58,75.39,2.947,-41.42
39,4,385.79,73.35,2.372,-59.33
40,4,387.48,71.24,2.703,-51.31
41,4,389.34,69.34,2.659,-45.61
42,4,391.2,67.37,2.709,-46.65
43,4,393.31,65.37,2.907,-43.47
44,4,395.35,63.25,2.942,-46.1
45,4,397.32,61.36,2.73,-43.81
46,4,398.7,59.37,2.422,-55.26
47,4,400.65,57.37,2.793,-45.73
48,4,402.53,55.27,2.819,-48.16
49,4,404.43,53.31,2.73,-45.89
50,4,406.47,51.26,2.892,-45.14
51,4,408.62,49.32,2.896,-42.06
52,4,409.84,47.22,2.429,-59.85
53,4,411.51,45.35,2.507,-48.23
54,4,413.41,43.33,2.773,-46.75
55,4,415.2,41.34,2.677,-48.03
56,4,417.39,39.25,3.027,-43.66
57,4,419.37,37.38,2.723,-43.36
58,4,420.74,35.39,2.416,-55.45
59,4,422.44,33.26,2.725,-51.41
60,4,424.59,31.25,2.943,-43.07
61,4,426.51,29.29,2.744,-45.59
62,4,428.46,27.3,2.786,-45.58
63,4,430.42,25.25,2.836,-46.29
64,4,432.65,23.22,3.016,-42.31
65,4,433.88,21.33,2.255,-56.94
66,4,435.64,19.34,2.657,-48.51
67,4,437.39,17.32,2.673,-49.1
68,4,439.2,15.28,2.727,-48.42
69,4,441.35,13.33,2.903,-42.21
70,4,443.42,11.29,2.906,-44.58
71,4,444.7,9.36,2.316,-56.45
72,4,446.42,7.22,2.746,-51.21
73,4,448.65,5.25,2.976,-41.46
74,4,450.56,3.38,2.673,-44.39
75,4,452.5,2.21,2.266,-31.09
0,5,162.52,261.34,0.0,0.0
0,6,327.1,258.42,0.0,0.0
1,6,327.01,259.37,0.954,95.41
0,7,485.23,537.41,0.0,0.0
1,7,486.35,536.56,1.406,-37.2
2,7,487.33,535.71,1.297,-40.94
3,7,488.31,534.74,1.379,-44.71
4,7,489.45,534.19,1.266,-25.76
12,7,498.56,528.51,10.736,-31.94
13,7,500.11,527.52,1.839,-32.57
14,7,501.31,526.57,1.531,-38.37
15,7,502.42,525.55,1.507,-42.58
16,7,503.46,525.22,1.091,-17.6
17,7,504.49,524.5,1.257,-34.95
18,7,505.51,523.56,1.387,-42.66
19,7,506.48,522.4,1.512,-50.1
20,7,508.0,522.05,1.56,-12.97
21,7,509.17,521.36,1.358,-30.53
22,7,510.48,520.42,1.612,-35.66
23,7,511.64,520.22,1.177,-9.78
24,7,512.52,519.51,1.131,-38.9
25,7,513.67,518.42,1.584,-43.47
28,7,517.28,516.44,4.117,-28.74
29,7,518.4,515.56,1.424,-38.16
30,7,519.54,514.52,1.543,-42.37
36,7,526.35,510.41,7.954,-31.11
37,7,527.34,509.6,1.279,-39.29
48,7,540.67,501.43,15.635,-31.5
49,7,541.61,500.52,1.308,-44.07
50,7,542.68,500.16,1.129,-18.6
62,7,556.44,491.34,16.344,-32.66
0,8,538.44,423.47,0.0,0.0
0,9,351.3,91.19,0.0,0.0
1,9,347.88,92.37,3.618,160.96
3,9,340.92,96.4,8.043,149.93
4,9,337.07,97.64,4.045,162.15
5,9,333.69,99.43,3.825,152.09
7,9,326.8,103.45,7.977,149.74
8,9,322.71,104.91,4.343,160.36
9,9,319.35,106.73,3.821,151.56
10,9,315.63,108.61,4.168,153.19
11,9,312.18,110.51,3.939,151.16
12,9,308.47,111.79,3.925,160.96
13,9,305.46,113.67,3.549,148.01
14,9,301.74,115.45,4.124,154.43
15,9,298.38,117.53,3.952,148.24
16,9,294.56,118.96,4.079,159.48
17,9,291.22,120.79,3.808,151.28
18,9,287.63,122.32,3.902,156.92
19,9,284.28,123.85,3.683,155.45
20,9,280.61,125.56,4.049,155.02
21,9,277.42,127.63,3.803,147.02
22,9,273.72,129.63,4.206,151.61
23,9,270.39,130.79,3.526,160.79
24,9,266.74,132.76,4.148,151.64
26,9,259.41,136.73,8.336,151.56
27,9,255.71,137.9,3.881,162.45
28,9,252.24,139.65,3.886,153.24
29,9,248.47,141.49,4.195,153.98
31,9,241.43,144.93,7.836,153.96
33,9,234.71,148.42,7.572,152.56
34,9,231.37,149.75,3.595,158.29
35,9,227.66,151.79,4.234,151.2
38,9,217.52,156.29,11.094,156.07
39,9,213.72,158.41,4.351,150.84
40,9,210.49,160.65,3.931,145.26
41,9,206.7,162.47,4.204,154.35
42,9,203.36,163.94,3.649,156.24
43,9,199.54,165.58,4.157,156.77
44,9,196.3,167.65,3.845,147.43
45,9,192.68,169.63,4.126,151.32
46,9,189.39,170.72,3.466,161.67
47,9,185.72,172.45,4.057,154.76
49,9,178.34,175.76,8.088,155.84
50,9,174.55,177.75,4.281,152.3
54,9,160.67,184.86,15.595,152.88
55,9,157.45,186.57,3.646,152.03
56,9,153.67,188.5,4.244,152.95
57,9,150.41,189.91,3.552,156.61
58,9,146.68,191.69,4.133,154.49
59,9,143.5,193.53,3.674,149.95
60,9,139.58,195.54,4.405,152.85
61,9,136.43,196.85,3.412,157.42
62,9,132.73,198.59,4.089,154.81
63,9,129.46,200.72,3.903,146.92
64,9,125.58,202.04,4.098,161.21
65,9,122.36,203.69,3.618,152.87
66,9,118.7,205.61,4.133,152.32
67,9,115.39,207.66,3.893,148.23
68,9,111.61,208.95,3.994,161.16
69,9,108.41,210.62,3.61,152.44
70,9,104.8,212.42,4.034,153.5
71,9,101.43,214.45,3.934,148.94
72,9,97.67,215.82,4.002,159.98
73,9,93.63,217.68,4.448,155.28
74,9,90.45,219.53,3.679,149.81
75,9,86.78,221.49,4.161,151.9
76,9,83.54,222.68,3.452,159.83
77,9,79.73,224.66,4.294,152.54
78,9,76.49,226.5,3.726,150.41
79,9,72.78,227.8,3.931,160.69
80,9,69.45,229.66,3.814,150.81
81,9,65.71,231.53,4.181,153.43
82,9,62.5,233.59,3.814,147.31
83,9,58.55,234.84,4.143,162.44
84,9,55.22,236.65,3.79,151.47
85,9,51.61,238.48,4.047,153.12
86,9,48.48,240.43,3.688,148.08
87,9,44.51,241.89,4.23,159.81
88,9,41.43,243.53,3.489,151.97
89,9,37.7,245.59,4.261,151.09
90,9,34.45,247.68,3.864,147.26
91,9,30.89,249.06,3.818,158.81
92,9,27.41,250.68,3.839,155.04
93,9,23.67,252.57,4.19,153.19
94,9,20.33,253.78,3.552,160.09
95,9,16.68,255.56,4.061,154.0
96,9,13.3,257.43,3.863,151.05
97,9,10.06,259.41,3.797,148.57
98,9,8.6,260.77,1.995,137.03
99,9,7.48,262.42,1.994,124.17
0,10,494.86,532.51,0.0,0.0
1,10,495.73,531.6,1.259,-46.29
2,10,496.78,530.42,1.58,-48.34
3,10,497.64,529.57,1.209,-44.66
4,10,498.63,529.34,1.016,-13.08
5,10,499.66,528.57,1.286,-36.78
6,10,500.71,527.67,1.383,-40.6
7,10,502.65,526.69,2.173,-26.8
8,10,504.07,526.39,1.451,-11.93
9,10,505.01,525.53,1.274,-42.46
10,10,506.02,524.53,1.421,-44.71
11,10,507.05,523.52,1.443,-44.44
12,10,508.11,523.23,1.099,-15.3
13,10,509.61,522.59,1.631,-23.11
14,10,510.69,521.57,1.486,-43.36
15,10,511.65,520.4,1.513,-50.63
16,10,512.57,520.1,0.968,-18.06
17,10,513.84,519.4,1.45,-28.86
18,10,514.76,518.54,1.259,-43.07
19,10,515.92,517.6,1.493,-39.02
20,10,517.78,517.18,1.907,-12.72
21,10,518.92,516.53,1.312,-29.69
22,10,519.94,515.62,1.367,-41.74
23,10,520.96,515.18,1.111,-23.33
24,10,521.89,514.35,1.247,-41.75
25,10,522.93,513.47,1.362,-40.24
26,10,524.59,512.6,1.874,-27.66
27,10,526.02,512.22,1.48,-14.88
28,10,527.16,511.38,1.416,-36.38
29,10,528.19,510.59,1.298,-37.49
30,10,529.08,509.62,1.316,-47.46
31,10,530.1,509.23,1.092,-20.92
32,10,531.03,508.42,1.233,-41.05
33,10,532.7,507.48,1.916,-29.37
34,10,533.89,506.54,1.516,-38.31
35,10,535.01,506.1,1.203,-21.45
36,10,535.9,505.47,1.09,-35.29
37,10,536.72,504.65,1.16,-45.0
38,10,537.98,503.76,1.543,-35.24
39,10,539.53,503.4,1.591,-13.08
40,10,540.74,502.72,1.388,-29.34
41,10,542.05,501.66,1.685,-38.98
42,10,543.09,501.34,1.088,-17.1
43,10,544.19,500.51,1.378,-37.04
44,10,544.99,499.63,1.189,-47.73
45,10,546.47,498.52,1.85,-36.87
46,10,547.81,498.21,1.375,-13.03
47,10,548.88,497.43,1.324,-36.09
48,10,550.1,496.48,1.546,-37.91
49,10,551.19,495.4,1.534,-44.74
50,10,552.13,495.06,1.0,-19.89
51,10,553.22,494.47,1.239,-28.43
52,10,554.71,493.62,1.715,-29.7
53,10,556.05,492.61,1.678,-37.01
54,10,557.09,492.31,1.082,-16.09
55,10,558.04,491.59,1.192,-37.16
56,10,558.97,490.48,1.448,-50.04
57,10,559.69,489.51,1.208,-53.41
58,10,561.39,489.12,1.744,-12.92
59,10,562.63,488.47,1.4,-27.66
60,10,563.73,487.52,1.453,-40.82
61,10,564.78,487.21,1.095,-16.45
62,10,566.01,486.43,1.456,-32.38
63,10,567.09,485.57,1.381,-38.53
64,10,568.19,484.54,1.507,-43.12
65,10,569.76,484.11,1.628,-15.32
66,10,571.03,483.42,1.445,-28.52
67,10,571.98,482.59,1.262,-41.14
68,10,572.89,481.6,1.345,-47.41
69,10,574.04,481.23,1.208,-17.84
70,10,574.86,480.55,1.065,-39.67
71,10,576.6,479.57,1.997,-29.39
72,10,577.89,478.67,1.573,-34.9
73,10,578.89,478.34,1.053,-18.26
74,10,579.99,477.5,1.384,-37.37
75,10,581.01,476.63,1.341,-40.46
76,10,582.05,475.65,1.429,-43.3
77,10,583.7,475.27,1.693,-12.97
78,10,584.89,474.41,1.468,-35.86
79,10,585.81,473.52,1.28,-44.05
80,10,586.85,473.24,1.077,-15.07
81,10,587.84,472.58,1.19,-33.69
82,10,588.77,471.67,1.301,-44.38
83,10,589.82,470.74,1.403,-41.53
84,10,591.72,470.28,1.955,-13.61
85,10,593.22,469.38,1.749,-30.96
86,10,594.09,468.46,1.266,-46.6
87,10,595.15,467.53,1.41,-41.26
88,10,596.18,467.25,1.067,-15.21
89,10,597.04,466.46,1.168,-42.57
90,10,598.74,465.51,1.947,-29.2
91,10,599.69,464.4,1.461,-49.44
92,10,600.65,464.11,1.003,-16.81
93,10,601.92,463.5,1.409,-25.66
94,10,602.82,462.59,1.28,-45.32
95,10,603.9,461.58,1.479,-43.08
96,10,605.11,461.12,1.294,-20.82
97,10,606.67,460.49,1.682,-21.99
98,10,608.05,459.55,1.67,-34.26
99,10,608.92,459.25,0.92,-19.03
0,11,328.43,258.29,0.0,0.0
2,11,328.88,261.26,3.004,81.38
3,11,329.39,263.22,2.025,75.41
4,11,329.45,265.28,2.061,88.33
5,11,330.26,266.69,1.626,60.12
6,11,331.16,268.36,1.897,61.68
7,11,331.43,270.24,1.899,81.83
8,11,332.07,272.04,1.91,70.43
9,11,333.11,273.62,1.892,56.65
10,11,333.46,275.49,1.902,79.4
11,11,334.19,277.44,2.082,69.48
13,11,336.55,281.39,4.601,59.14
14,11,336.95,282.61,1.284,71.85
15,11,337.57,284.47,1.961,71.57
16,11,338.36,286.4,2.085,67.74
17,11,338.62,288.33,1.947,82.33
18,11,339.31,289.71,1.543,63.43
19,11,340.16,291.48,1.964,64.35
20,11,340.4,293.27,1.806,82.36
21,11,341.03,295.28,2.106,72.6
22,11,342.29,296.72,1.913,48.81
23,11,343.07,298.5,1.943,66.34
24,11,343.19,300.61,2.113,86.74
25,11,344.48,302.24,2.079,51.64
26,11,345.43,304.18,2.16,63.91
27,11,345.68,305.49,1.334,79.2
28,11,346.54,307.37,2.067,65.42
29,11,347.44,309.34,2.166,65.45
30,11,347.61,311.32,1.987,85.09
31,11,348.33,312.62,1.486,61.02
32,11,349.24,314.43,2.026,63.31
33,11,349.55,316.44,2.034,81.23
34,11,350.31,318.41,2.112,68.9
35,11,351.05,319.83,1.601,62.47
36,11,352.51,321.65,2.333,51.26
37,11,353.01,323.14,1.572,71.45
38,11,353.64,325.38,2.327,74.29
39,11,354.43,327.49,2.253,69.47
40,11,354.71,328.76,1.3,77.57
41,11,355.43,330.47,1.855,67.17
42,11,356.23,332.35,2.043,66.95
43,11,356.36,334.36,2.014,86.3
44,11,357.03,335.77,1.561,64.58
45,11,358.31,337.59,2.225,54.88
46,11,359.3,339.31,1.985,60.08
47,11,359.86,341.37,2.135,74.79
48,11,360.78,342.66,1.584,54.5
49,11,361.44,344.63,2.078,71.48
50,11,361.81,346.35,1.759,77.86
51,11,362.61,348.47,2.266,69.33
52,11,363.37,350.38,2.056,68.3
53,11,363.57,351.83,1.464,82.15
54,11,364.33,353.47,1.808,65.14
55,11,365.25,355.52,2.247,65.83
56,11,365.55,357.51,2.012,81.43
57,11,366.28,358.86,1.535,61.6
58,11,367.01,360.54,1.832,66.51
59,11,368.45,362.46,2.4,53.13
60,11,369.0,364.22,1.844,72.65
61,11,369.71,365.71,1.651,64.52
62,11,370.53,367.6,2.06,66.55
63,11,370.71,369.37,1.779,84.19
64,11,371.36,371.37,2.103,72.0
65,11,372.25,373.32,2.144,65.47
66,11,372.49,374.61,1.312,79.46
67,11,373.3,376.47,2.029,66.47
68,11,374.35,378.5,2.285,62.65
69,11,374.95,380.69,2.271,74.68
70,11,376.11,381.87,1.655,45.49
71,11,376.9,383.66,1.957,66.19
72,11,377.5,385.47,1.907,71.66
73,11,377.67,387.17,1.708,84.29
74,11,378.5,388.58,1.636,59.52
75,11,379.31,390.33,1.928,65.16
76,11,379.29,392.31,1.98,90.58
77,11,380.11,394.31,2.162,67.71
78,11,381.16,396.48,2.411,64.18
79,11,382.18,397.85,1.708,53.33
80,11,382.51,399.53,1.712,78.89
81,11,383.17,401.45,2.03,71.03
82,11,384.49,403.17,2.168,52.5
83,11,384.98,404.32,1.25,66.92
84,11,385.61,406.26,2.04,72.01
85,11,386.4,408.34,2.225,69.2
86,11,386.68,410.32,2.0,81.95
87,11,387.28,411.58,1.396,64.54
88,11,388.03,413.28,1.858,66.19
89,11,388.29,415.34,2.076,82.81
90,11,389.24,417.43,2.296,65.56
91,11,390.26,419.56,2.362,64.41
92,11,390.9,420.87,1.458,63.96
93,11,392.06,422.35,1.88,51.91
95,11,393.53,426.32,4.233,69.68
96,11,393.81,427.72,1.428,78.69
97,11,394.56,429.55,1.978,67.71
98,11,395.33,431.25,1.866,65.63
99,11,395.77,433.33,2.126,78.06
37,101,350.57,315.81,0.0,0.0
47,115,430.96,206.39,0.0,0.0
61,133,367.06,357.98,0.0,0.0
96,182,391.2,419.96,0.0,0.0
